topology,beta_level,beta_a,beta_b,replication,seed,alpha,final_alignment,mean_alignment
ER,Low heterogeneity,5.0,5.0,9,1942349,0.7,0.16660785511686643,0.23747717650884728
ER,Low heterogeneity,5.0,5.0,9,1942349,0.9,0.1393618051882695,0.2187354206100731
ER,Low heterogeneity,5.0,5.0,9,1942349,1.0,0.13175663034868498,0.21430960668284335
ER,Low heterogeneity,5.0,5.0,10,1942350,0.0,0.45459061406202145,0.5477984817414112
ER,Low heterogeneity,5.0,5.0,10,1942350,0.3,0.3670951785372722,0.4693579088830104
ER,Low heterogeneity,5.0,5.0,10,1942350,0.5,0.30875159735247415,0.4138870724290039
ER,Low heterogeneity,5.0,5.0,10,1942350,0.7,0.20774634332324485,0.32064750894399435
ER,Low heterogeneity,5.0,5.0,10,1942350,0.9,0.1374292310317143,0.25890323130331144
ER,Low heterogeneity,5.0,5.0,10,1942350,1.0,0.12725976196700237,0.25047819970056434
ER,Low heterogeneity,5.0,5.0,11,1942351,0.0,0.32910045061681104,0.3930831374549828
ER,Low heterogeneity,5.0,5.0,11,1942351,0.3,0.3029018279558714,0.3706598174453766
ER,Low heterogeneity,5.0,5.0,11,1942351,0.5,0.19311391652446705,0.26473613858900125
ER,Low heterogeneity,5.0,5.0,11,1942351,0.7,0.11130526146141374,0.19313423570382626
ER,Low heterogeneity,5.0,5.0,11,1942351,0.9,0.0954264727129457,0.18022571035264603
ER,Low heterogeneity,5.0,5.0,11,1942351,1.0,0.10533632388221299,0.18827110362034785
ER,Low heterogeneity,5.0,5.0,12,1942352,0.0,0.19346004239630574,0.407481025879225
ER,Low heterogeneity,5.0,5.0,12,1942352,0.3,0.18234595967665607,0.4034303193776343
ER,Low heterogeneity,5.0,5.0,12,1942352,0.5,0.15668896488365794,0.39699070260683733
ER,Low heterogeneity,5.0,5.0,12,1942352,0.7,0.08511408736747549,0.32782687340100364
ER,Low heterogeneity,5.0,5.0,12,1942352,0.9,0.07191399568682379,0.30911987112408496
ER,Low heterogeneity,5.0,5.0,12,1942352,1.0,0.07329272679430554,0.3087428710779275
ER,Low heterogeneity,5.0,5.0,13,1942353,0.0,0.09613288871332054,0.278329322115027
ER,Low heterogeneity,5.0,5.0,13,1942353,0.3,0.08226705408329509,0.272657544838223
ER,Low heterogeneity,5.0,5.0,13,1942353,0.5,0.05484062873220007,0.2662290200639118
ER,Low heterogeneity,5.0,5.0,13,1942353,0.7,0.027715974902460725,0.2573635887879905
ER,Low heterogeneity,5.0,5.0,13,1942353,0.9,0.027160753994947,0.2605051099694608
ER,Low heterogeneity,5.0,5.0,13,1942353,1.0,0.0310831688716492,0.26414428005374824
ER,Low heterogeneity,5.0,5.0,14,1942354,0.0,0.5654163744448147,0.6152298414951931
ER,Low heterogeneity,5.0,5.0,14,1942354,0.3,0.5208391620567204,0.5708987100110999
ER,Low heterogeneity,5.0,5.0,14,1942354,0.5,0.4287100329103649,0.47991932559107875
ER,Low heterogeneity,5.0,5.0,14,1942354,0.7,0.2923510933538772,0.34331559361706987
ER,Low heterogeneity,5.0,5.0,14,1942354,0.9,0.2331080234305779,0.28987285212321917
ER,Low heterogeneity,5.0,5.0,14,1942354,1.0,0.2410208835570392,0.29415834083064135
ER,Low heterogeneity,5.0,5.0,15,1942355,0.0,0.11442647993625336,0.3107566071585935
ER,Low heterogeneity,5.0,5.0,15,1942355,0.3,0.09897450428223384,0.2983778606835403
ER,Low heterogeneity,5.0,5.0,15,1942355,0.5,0.0788039318371613,0.2859162961380652
