topology,alpha,n,mean_final_alignment,std_final_alignment,ci95_final_alignment
BA,0.0,2,0.5299232649910837,0.4278728243867339,0.5930014801942286
BA,1.0,2,0.17079087124285164,0.03651142493187608,0.05060225327382178
ER,0.0,2,0.44221505619216633,0.18971319848656482,0.2629290786956613
ER,1.0,2,0.181952536748771,0.015508557981930992,0.0214937647702784
RR,0.0,2,0.4681623862564828,0.33424361371811356,0.463238014623615
RR,1.0,2,0.20137405317680038,0.054583742166637916,0.07564920708799282
WS,0.0,2,0.6101128849618596,0.42248037800442445,0.5855279308021615
WS,1.0,2,0.19070228766013436,0.06683828056095598,0.09263313079790189
